WE_Lane1.37,675.83,-6.0
WE_Lane1.38,489.92,-6.0
WE_Lane1.39,453.33,-6.0
WE_Lane1.4,759.66,-6.0
WE_Lane1.5,1786.34,6.0
WE_Lane1.6,1802.45,-6.0
WE_Lane1.7,1660.82,6.0
WE_Lane1.8,1543.55,-6.0
WE_Lane1.9,1401.55,-6.0
WE_Lane2.0,1512.38,2.0
WE_Lane2.1,1536.89,-2.0
WE_Lane2.10,1187.25,-2.0
WE_Lane2.11,2009.75,-10.69
WE_Lane2.12,1295.49,-2.0
WE_Lane2.13,1720.8,-2.0
WE_Lane2.14,822.24,-2.0
WE_Lane2.15,778.8,-2.0
WE_Lane2.16,734.86,-2.0
WE_Lane2.17,935.84,-2.0
WE_Lane2.18,1677.59,2.0
WE_Lane2.19,1063.89,-2.0
WE_Lane2.2,1633.31,2.0
WE_Lane2.20,1679.11,-2.0
WE_Lane2.21,1368.96,-2.0
WE_Lane2.22,693.01,-2.0
WE_Lane2.23,632.96,-2.0
WE_Lane2.24,2008.81,9.21
WE_Lane2.25,1893.58,-2.0
WE_Lane2.26,578.46,-2.0
WE_Lane2.27,1770.66,-2.0
WE_Lane2.28,1555.67,2.0
WE_Lane2.29,1618.51,-2.0
WE_Lane2.3,1937.02,2.0
WE_Lane2.30,1720.6,2.0
WE_Lane2.31,1141.81,-2.0
WE_Lane2.32,1863.33,2.0
WE_Lane2.33,538.42,-2.0
WE_Lane2.34,1962.06,-2.0
WE_Lane2.35,1764.16,2.0
WE_Lane2.36,1850.96,-2.0
WE_Lane2.37,500.39,-2.0
WE_Lane2.38,463.49,-2.0
WE_Lane2.4,1487.86,-2.0
WE_Lane2.5,1819.69,2.0
WE_Lane2.6,1228.22,-2.0
WE_Lane2.7,978.08,-2.0
WE_Lane2.8,869.95,-2.0
WE_Lane2.9,1443.7,-2.0
