flow222.3,248.25,120.199,moped
flow222.4,244.75,469.806,motorcycle
flow222.5,248.25,456.503,motorcycle
flow222.6,244.75,513.614,motorcycle
flow222.7,244.75,467.105,motorcycle
flow222.8,248.25,459.204,motorcycle
flow222.9,248.25,464.506,motorcycle
pf_0.0,495.165,441.6,DEFAULT_PEDTYPE
pf_0.1,475.303,441.6,DEFAULT_PEDTYPE
pf_0.10,487.327,441.6,DEFAULT_PEDTYPE
pf_0.11,480.003,440.96,DEFAULT_PEDTYPE
pf_0.12,501.76,432.929,DEFAULT_PEDTYPE
pf_0.13,473.225,424.4,DEFAULT_PEDTYPE
pf_0.14,388.722,423.76,DEFAULT_PEDTYPE
pf_0.15,399.338,424.4,DEFAULT_PEDTYPE
pf_0.16,398.749,425.04,DEFAULT_PEDTYPE
pf_0.17,461.116,440.96,DEFAULT_PEDTYPE
pf_0.18,498.416,424.4,DEFAULT_PEDTYPE
pf_0.19,493.662,425.04,DEFAULT_PEDTYPE
pf_0.2,490.544,442.24,DEFAULT_PEDTYPE
pf_0.20,404.82,423.76,DEFAULT_PEDTYPE
pf_0.21,388.255,423.76,DEFAULT_PEDTYPE
pf_0.22,376.931,423.76,DEFAULT_PEDTYPE
pf_0.23,376.437,423.76,DEFAULT_PEDTYPE
pf_0.24,392.685,424.4,DEFAULT_PEDTYPE
pf_0.25,398.261,425.04,DEFAULT_PEDTYPE
pf_0.26,497.448,442.24,DEFAULT_PEDTYPE
pf_0.27,395.369,424.4,DEFAULT_PEDTYPE
pf_0.28,488.197,441.6,DEFAULT_PEDTYPE
pf_0.29,499.301,442.24,DEFAULT_PEDTYPE
pf_0.3,455.336,423.76,DEFAULT_PEDTYPE
pf_0.30,404.348,423.761,DEFAULT_PEDTYPE
pf_0.31,501.532,441.397,DEFAULT_PEDTYPE
pf_0.32,392.212,424.485,DEFAULT_PEDTYPE
pf_0.33,397.792,424.981,DEFAULT_PEDTYPE
pf_0.34,391.738,424.428,DEFAULT_PEDTYPE
pf_0.35,426.929,425.04,DEFAULT_PEDTYPE
pf_0.36,419.516,424.4,DEFAULT_PEDTYPE
pf_0.37,375.97,423.785,DEFAULT_PEDTYPE
pf_0.38,397.423,425.68,DEFAULT_PEDTYPE
pf_0.39,384.106,424.4,DEFAULT_PEDTYPE
pf_0.4,491.729,442.24,DEFAULT_PEDTYPE
pf_0.40,418.861,425.68,DEFAULT_PEDTYPE
pf_0.41,405.518,425.68,DEFAULT_PEDTYPE
pf_0.42,409.229,425.68,DEFAULT_PEDTYPE
pf_0.43,408.744,425.528,DEFAULT_PEDTYPE
pf_0.44,383.631,424.4,DEFAULT_PEDTYPE
pf_0.45,352.187,423.76,DEFAULT_PEDTYPE
pf_0.46,286.225,423.76,DEFAULT_PEDTYPE
pf_0.47,287.147,424.4,DEFAULT_PEDTYPE
pf_0.48,287.917,423.76,DEFAULT_PEDTYPE
pf_0.49,427.651,425.04,DEFAULT_PEDTYPE
pf_0.5,454.857,423.785,DEFAULT_PEDTYPE
pf_0.50,378.021,424.4,DEFAULT_PEDTYPE
pf_0.51,400.292,425.679,DEFAULT_PEDTYPE
pf_0.52,365.695,424.4,DEFAULT_PEDTYPE
pf_0.53,294.054,424.4,DEFAULT_PEDTYPE
pf_0.54,287.431,423.76,DEFAULT_PEDTYPE
pf_0.55,401.153,423.76,DEFAULT_PEDTYPE
pf_0.56,297.073,423.76,DEFAULT_PEDTYPE
pf_0.57,293.305,423.76,DEFAULT_PEDTYPE
pf_0.58,296.604,423.82,DEFAULT_PEDTYPE
pf_0.59,302.516,425.04,DEFAULT_PEDTYPE
pf_0.6,498.883,424.4,DEFAULT_PEDTYPE
pf_0.60,296.068,424.4,DEFAULT_PEDTYPE
pf_0.61,292.45,424.4,DEFAULT_PEDTYPE
pf_0.62,286.677,424.4,DEFAULT_PEDTYPE
pf_0.63,284.973,424.4,DEFAULT_PEDTYPE
pf_0.64,282.906,423.76,DEFAULT_PEDTYPE
pf_0.65,284.181,423.76,DEFAULT_PEDTYPE
pf_0.66,292.836,423.76,DEFAULT_PEDTYPE
pf_0.7,454.385,423.761,DEFAULT_PEDTYPE
pf_0.8,475.945,442.24,DEFAULT_PEDTYPE
pf_0.9,491.853,440.96,DEFAULT_PEDTYPE
pf_1.0,258.6,537.636,DEFAULT_PEDTYPE
pf_1.1,257.96,537.249,DEFAULT_PEDTYPE
pf_1.10,259.24,540.718,DEFAULT_PEDTYPE
pf_1.11,259.211,514.217,DEFAULT_PEDTYPE
pf_1.12,257.96,513.207,DEFAULT_PEDTYPE
pf_1.13,259.24,513.729,DEFAULT_PEDTYPE
pf_1.14,259.24,490.055,DEFAULT_PEDTYPE
pf_1.15,257.32,548.004,DEFAULT_PEDTYPE
pf_1.16,259.74,425.998,DEFAULT_PEDTYPE
